,mask_path1,mask_path2,proximity,image_similarity,compactness
0,data/row_0_col_1638/region_12_with_border.png,data/row_0_col_1638/region_9_with_border.png,2451,0.6732224225997925,0.016976269714793053
1,data/row_0_col_1638/region_10_with_border.png,data/row_0_col_1638/region_3_with_border.png,944,0.7098233699798584,0.0198617439105964
2,data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_7_with_border.png,1265,0.5638324618339539,0.023438328791198424
3,data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_6_with_border.png,1381,0.5727689266204834,0.02511289322268596
4,data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_2_with_border.png,8739,0.7950555682182312,0.03974929440750505
5,data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_5_with_border.png,4118,0.7002474069595337,0.023448633770360675
6,data/row_0_col_1638/region_1_with_border.png,data/row_0_col_1638/region_2_with_border.png,95,0.6101711392402649,0.04350658254478957
7,data/row_0_col_1638/region_1_with_border.png,data/row_0_col_1638/region_3_with_border.png,1644,0.7196269035339355,0.0198617439105964
8,data/row_0_col_1638/region_11_with_border.png,data/row_0_col_1638/region_9_with_border.png,2649,0.8688188195228577,0.01564506406052917
9,data/row_0_col_1638/region_7_with_border.png,data/row_0_col_1638/region_4_with_border.png,1265,0.5638324618339539,0.023438328791198424
10,data/row_0_col_1638/region_7_with_border.png,data/row_0_col_1638/region_5_with_border.png,743,0.6801914572715759,0.03664881240446861
11,data/row_0_col_1638/region_6_with_border.png,data/row_0_col_1638/region_4_with_border.png,1381,0.5727689266204834,0.02511289322268596
12,data/row_0_col_1638/region_6_with_border.png,data/row_0_col_1638/region_2_with_border.png,401,0.5213482975959778,0.09308524400973554
13,data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_4_with_border.png,8739,0.7950555682182312,0.03974929440750505
14,data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_1_with_border.png,95,0.6101711392402649,0.04350658254478957
15,data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_6_with_border.png,401,0.5213482975959778,0.09308524400973554
16,data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_5_with_border.png,1218,0.697471559047699,0.09308524400973554
17,data/row_0_col_1638/region_13_with_border.png,data/row_0_col_1638/region_14_with_border.png,2158,0.6447640061378479,0.05068184938114683
18,data/row_0_col_1638/region_8_with_border.png,data/row_0_col_1638/region_9_with_border.png,1027,0.6664648056030273,0.01442666265202348
19,data/row_0_col_1638/region_8_with_border.png,data/row_0_col_1638/region_3_with_border.png,145,0.6832035779953003,0.0198617439105964
20,data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_12_with_border.png,2451,0.6732224225997925,0.016976269714793053
21,data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_11_with_border.png,2649,0.8688188195228577,0.01564506406052917
22,data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_8_with_border.png,1027,0.6664648056030273,0.01442666265202348
23,data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_10_with_border.png,944,0.7098233699798584,0.0198617439105964
24,data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_1_with_border.png,1644,0.7196269035339355,0.0198617439105964
25,data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_8_with_border.png,145,0.6832035779953003,0.0198617439105964
26,data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_4_with_border.png,4118,0.7002474069595337,0.023448633770360675
27,data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_7_with_border.png,743,0.6801914572715759,0.03664881240446861
28,data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_2_with_border.png,1218,0.697471559047699,0.09308524400973554
29,data/row_0_col_1638/region_14_with_border.png,data/row_0_col_1638/region_13_with_border.png,2158,0.6447640061378479,0.05068184938114683
